"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mgi_symbol"
"ENSMUSG00000032080",14291.817820761,-5.04940206713486,0.252280931108998,-20.0149969517643,4.07661802349113e-89,6.8006141867879e-85,"Apoa4"
"ENSMUSG00000024526",465.87904057095,-6.89875327765697,0.346610104834775,-19.9034972767038,3.7950245658943e-88,3.16542999041243e-84,"Cidea"
"ENSMUSG00000069170",343.928323594871,-4.05807922739454,0.253624154312649,-16.0003657316962,1.27026679175361e-57,7.0635302066779e-54,"Gpr98"
"ENSMUSG00000042041",651.002326876615,-3.18880792093105,0.203754669980953,-15.6502323172722,3.31008961416667e-55,1.38047287358821e-51,"2010003K11Rik"
"ENSMUSG00000032231",883.324337619713,-2.58604323853779,0.176745098441921,-14.6314848973737,1.76884084509599e-48,5.90156059557827e-45,"Anxa2"
"ENSMUSG00000026043",833.867936897615,-2.46575356829065,0.171539399973021,-14.3742695187138,7.50578117341029e-47,2.08685735891384e-43,"Col3a1"
"ENSMUSG00000034634",199.350753769816,-5.34659694749496,0.376053110151079,-14.2176644818786,7.11893986050435e-46,1.69654506789905e-42,"Ly6d"
"ENSMUSG00000038576",842.879994522801,2.2222618775728,0.15667217921648,14.1841511919114,1.14846924450951e-45,2.39484549211345e-42,"Susd4"
"ENSMUSG00000028051",339.399128135267,-3.61743983981151,0.257478691371521,-14.049472678855,7.76097628876299e-45,1.43854007165716e-41,"Hcn3"
"ENSMUSG00000067225",6670.87266664328,3.03476337657941,0.221262483777031,13.7156707489444,8.18063406339646e-43,1.3646933744558e-39,"Cyp2c54"
"ENSMUSG00000030278",454.428775970098,-3.78895441035993,0.277656644218704,-13.6461867174893,2.12722153091031e-42,3.22602814351326e-39,"Cidec"
"ENSMUSG00000042248",9297.15167240665,2.62705701748061,0.200270953038575,13.1175139361053,2.61369141886614e-39,3.63346668746042e-36,"Cyp2c37"
