"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0002376",1.67791849869129e-25,1,442,1544,"immune system process","BP"
"GO:0002682",5.92166482541626e-18,1,260,858,"regulation of immune system process","BP"
"GO:0006955",1.74749774358764e-15,1,230,768,"immune response","BP"
"GO:0006952",1.04276661811736e-14,1,250,862,"defense response","BP"
"GO:0042254",2.60763299846821e-14,1,100,242,"ribosome biogenesis","BP"
"GO:0001775",2.85456671125477e-14,1,193,643,"cell activation","BP"
"GO:0048534",7.16365647596434e-14,1,197,662,"hematopoietic or lymphoid organ development","BP"
"GO:0030097",8.53664356686579e-14,1,190,632,"hemopoiesis","BP"
"GO:0002252",1.12064995821531e-13,1,164,515,"immune effector process","BP"
"GO:0002684",2.31274548689638e-13,1,166,540,"positive regulation of immune system process","BP"
"GO:0002520",4.1161985532113e-13,1,203,701,"immune system development","BP"
"GO:0006364",5.56689245966243e-13,1,74,166,"rRNA processing","BP"
"GO:0016072",2.48142900457205e-12,1,74,171,"rRNA metabolic process","BP"
"GO:0050776",3.349602540158e-12,1,135,422,"regulation of immune response","BP"
"GO:0045321",6.25580893998689e-12,1,167,564,"leukocyte activation","BP"
"GO:0046649",9.25673924276398e-12,1,149,490,"lymphocyte activation","BP"
"GO:0009605",1.28135100745716e-11,1,313,1235,"response to external stimulus","BP"
"GO:0022613",2.6098188470894e-11,1,122,355,"ribonucleoprotein complex biogenesis","BP"
"GO:0043207",2.63137121786007e-11,1,163,540,"response to external biotic stimulus","BP"
"GO:0051707",2.63137121786007e-11,1,163,540,"response to other organism","BP"
"GO:0050896",3.9762700119477e-11,1,992,4758,"response to stimulus","BP"
"GO:0048583",6.56164626015818e-11,1,517,2283,"regulation of response to stimulus","BP"
"GO:0009607",1.5055298718765e-10,1,166,565,"response to biotic stimulus","BP"
"GO:0042742",2.05510322059868e-10,0.999999999952733,56,128,"defense response to bacterium","BP"
"GO:0006959",3.44346317659564e-10,0.999999999937874,40,76,"humoral immune response","BP"
"GO:0002521",3.94009349844753e-10,1,118,383,"leukocyte differentiation","BP"
"GO:0098542",4.50348393963783e-10,1,113,347,"defense response to other organism","BP"
"GO:0002443",9.46293364551276e-10,1,79,225,"leukocyte mediated immunity","BP"
"GO:0009617",1.11026488438116e-09,1,100,302,"response to bacterium","BP"
"GO:0044822",2.9278054555316e-09,1,277,1072,"poly(A) RNA binding","MF"
"GO:0050778",3.88900130552458e-09,1,103,330,"positive regulation of immune response","BP"
"GO:0002697",4.49623249383862e-09,1,96,295,"regulation of immune effector process","BP"
