"category"	"over_represented_pvalue"	"under_represented_pvalue"	"numDEInCat"	"numInCat"	"term"	"ontology"
"GO:0044281"	3.49639212870302e-25	1	309	1434	"small molecule metabolic process"	"BP"
"GO:0044710"	6.02129938036317e-25	1	538	2962	"single-organism metabolic process"	"BP"
"GO:0006082"	7.36036628804988e-25	1	197	763	"organic acid metabolic process"	"BP"
"GO:0043436"	1.25346510028691e-23	1	192	752	"oxoacid metabolic process"	"BP"
"GO:0019752"	1.45100148778254e-22	1	181	706	"carboxylic acid metabolic process"	"BP"
"GO:0032787"	7.44852771580583e-22	1	131	448	"monocarboxylic acid metabolic process"	"BP"
"GO:0006629"	1.92926923682457e-19	1	214	947	"lipid metabolic process"	"BP"
"GO:0007155"	3.74520303306593e-19	1	209	914	"cell adhesion"	"BP"
"GO:0022610"	6.5486302403062e-19	1	210	924	"biological adhesion"	"BP"
"GO:0004497"	1.35758982356278e-17	1	46	95	"monooxygenase activity"	"MF"
"GO:0044699"	2.55279173090881e-17	1	1238	8689	"single-organism process"	"BP"
"GO:0001525"	2.99036574272404e-17	1	104	357	"angiogenesis"	"BP"
"GO:0006631"	3.14917746543773e-17	1	92	300	"fatty acid metabolic process"	"BP"
"00982"	1.00396814532126e-16	1	40	79	"Drug metabolism - cytochrome P450"	"KEGG"
"GO:0016491"	2.07642764392279e-16	1	151	643	"oxidoreductase activity"	"MF"
"GO:0030198"	3.76216545881089e-16	1	60	157	"extracellular matrix organization"	"BP"
"GO:0042221"	5.16286109838197e-16	1	423	2401	"response to chemical"	"BP"
"GO:0043062"	5.32545982138649e-16	1	60	158	"extracellular structure organization"	"BP"
"GO:0048514"	7.25303716793324e-16	1	116	436	"blood vessel morphogenesis"	"BP"
"GO:0044711"	2.25604330483973e-15	1	201	951	"single-organism biosynthetic process"	"BP"
"01100"	2.46798296507567e-15	1	207	1001	"Metabolic pathways"	"KEGG"
"00980"	2.85862018922083e-15	1	36	71	"Metabolism of xenobiotics by cytochrome P450"	"KEGG"
"GO:0048646"	1.30749704219113e-14	1	172	774	"anatomical structure formation involved in morphogenesis"	"BP"
"GO:0001568"	1.14193494965523e-13	1	125	516	"blood vessel development"	"BP"
"GO:0030334"	1.32676689156909e-13	1	138	595	"regulation of cell migration"	"BP"
"GO:0005539"	2.1752431684708e-13	1	49	131	"glycosaminoglycan binding"	"MF"
"GO:0009653"	2.19089630630942e-13	1	325	1790	"anatomical structure morphogenesis"	"BP"
"GO:2000145"	2.55247180388231e-13	1	142	624	"regulation of cell motility"	"BP"
"GO:0001944"	3.29317031078938e-13	1	128	541	"vasculature development"	"BP"
"GO:0044763"	3.3177846587275e-13	1	1035	7184	"single-organism cellular process"	"BP"
"GO:0016477"	3.77252893615772e-13	1	195	951	"cell migration"	"BP"
"GO:0040011"	4.16209699527285e-13	1	227	1157	"locomotion"	"BP"
"GO:0050896"	6.52275399820302e-13	1	778	5151	"response to stimulus"	"BP"
"GO:0051240"	7.46333613540877e-13	1	227	1162	"positive regulation of multicellular organismal process"	"BP"
"GO:0040012"	8.39290082783661e-13	1	149	675	"regulation of locomotion"	"BP"
"GO:0055114"	1.28483492669225e-12	1	164	790	"oxidation-reduction process"	"BP"
"GO:0044255"	1.39794184637475e-12	1	156	725	"cellular lipid metabolic process"	"BP"
"GO:0072358"	1.44620357540369e-12	1	128	552	"cardiovascular system development"	"BP"
"GO:0016705"	1.73206686946842e-12	1	53	154	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	"MF"
"GO:0004872"	1.98702285827952e-12	1	140	623	"receptor activity"	"MF"
"GO:0060089"	1.98702285827952e-12	1	140	623	"molecular transducer activity"	"MF"
"GO:0010033"	2.03339332103033e-12	1	326	1842	"response to organic substance"	"BP"
"GO:0051270"	2.12928143863646e-12	1	148	677	"regulation of cellular component movement"	"BP"
"GO:0001676"	2.8671419085548e-12	1	33	71	"long-chain fatty acid metabolic process"	"BP"
"04512"	2.90593116858894e-12	1	32	67	"ECM-receptor interaction"	"KEGG"
"GO:0051094"	4.75822976013331e-12	1	195	975	"positive regulation of developmental process"	"BP"
"GO:0004888"	5.09795871390478e-12	1	101	405	"transmembrane signaling receptor activity"	"MF"
"GO:0005509"	5.9828475862858e-12	1	93	368	"calcium ion binding"	"MF"
"GO:0009605"	6.46061640567296e-12	1	240	1283	"response to external stimulus"	"BP"
"00830"	6.84820930419902e-12	1	32	69	"Retinol metabolism"	"KEGG"
"GO:0005102"	7.2214075754945e-12	1	205	1055	"receptor binding"	"MF"
"GO:0099600"	9.36652983311934e-12	1	103	420	"transmembrane receptor activity"	"MF"
"GO:0042060"	9.47293954774153e-12	1	77	281	"wound healing"	"BP"
"GO:0051239"	1.05568349325069e-11	1	345	1995	"regulation of multicellular organismal process"	"BP"
"GO:0048870"	1.12173738891303e-11	1	200	1020	"cell motility"	"BP"
"GO:0051674"	1.12173738891303e-11	1	200	1020	"localization of cell"	"BP"
